Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Aug 18, 2022",2222,39.50,39.75,39.90,39.50,3.21M,-0.75%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 17, 2022",2222,39.80,39.80,39.85,39.45,4.02M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 16, 2022",2222,39.80,40.35,40.35,39.80,5.33M,-1.61%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 15, 2022",2222,40.45,40.40,40.45,39.85,5.04M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 14, 2022",2222,40.45,40.80,41.10,40.30,7.95M,-0.86%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 11, 2022",2222,40.80,39.90,40.80,39.90,9.29M,2.38%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 10, 2022",2222,39.85,39.80,40.05,39.55,5.35M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 09, 2022",2222,39.80,39.30,39.85,39.10,8.17M,1.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 08, 2022",2222,39.30,39.30,39.55,39.15,2.97M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 07, 2022",2222,39.25,39.60,39.60,39.20,1.91M,-1.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 04, 2022",2222,39.70,39.70,39.85,39.60,2.93M,-0.38%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 03, 2022",2222,39.85,39.75,39.85,39.50,2.93M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 02, 2022",2222,39.85,40.00,40.05,39.20,6.37M,-0.50%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Aug 01, 2022",2222,40.05,39.75,40.10,39.70,9.01M,0.75%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 31, 2022",2222,39.75,39.70,40.05,39.70,5.62M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 28, 2022",2222,39.70,39.95,40.05,39.70,11.12M,-0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 27, 2022",2222,39.75,39.00,39.85,38.75,7.68M,2.45%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 26, 2022",2222,38.80,38.70,38.85,38.45,2.77M,0.52%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 25, 2022",2222,38.60,38.50,38.90,38.45,3.63M,-0.26%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 24, 2022",2222,38.70,38.50,38.80,38.25,1.88M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 21, 2022",2222,38.65,38.95,38.95,38.60,3.02M,-0.64%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 20, 2022",2222,38.90,38.70,39.00,38.55,3.42M,0.39%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 19, 2022",2222,38.75,38.50,39.00,38.10,4.43M,0.65%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 18, 2022",2222,38.50,37.00,38.50,37.00,5.90M,4.19%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 17, 2022",2222,36.95,36.60,37.15,36.40,3.10M,1.93%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 14, 2022",2222,36.25,36.70,36.90,36.10,4.50M,-1.09%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 13, 2022",2222,36.65,37.50,37.60,36.65,9.11M,-3.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Jul 06, 2022",2222,37.95,37.95,38.05,37.70,5.57M,-0.91%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
