Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
18-Aug-22,4030,28.25,28.05,28.5,28,2.12M,1.62%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
17-Aug-22,4030,27.8,28.05,28.2,27.5,1.02M,-0.71%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
16-Aug-22,4030,28,27.8,28.25,27.8,2.00M,1.08%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
15-Aug-22,4030,27.7,27.65,27.9,27.1,1.53M,0.18%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
14-Aug-22,4030,27.65,27,27.85,26.55,1.81M,2.22%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
11-Aug-22,4030,27.05,26.2,27.1,26.2,2.24M,3.64%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
10-Aug-22,4030,26.1,25.65,26.25,25.65,1.64M,1.95%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
9-Aug-22,4030,25.6,24.9,26,24.9,2.87M,3.06%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
8-Aug-22,4030,24.84,24.74,25,24.74,921.87K,0.32%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
7-Aug-22,4030,24.76,24.4,24.96,24.22,980.23K,1.64%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
4-Aug-22,4030,24.36,24.3,24.6,24,792.45K,0.25%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
3-Aug-22,4030,24.3,24.46,24.48,24.2,843.59K,-0.74%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
2-Aug-22,4030,24.48,24.52,24.6,24.08,1.26M,0.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
1-Aug-22,4030,24.48,24.14,24.78,24.14,1.70M,2.43%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
31-Jul-22,4030,23.9,23.08,24.2,23.08,1.32M,3.64%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
28-Jul-22,4030,23.06,22.5,23.28,22.5,1.38M,2.67%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
27-Jul-22,4030,22.46,22.2,22.52,22,1.07M,1.17%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
26-Jul-22,4030,22.2,22.34,22.76,22.2,790.64K,-0.54%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
25-Jul-22,4030,22.32,22.3,22.34,22.12,1.35M,0.90%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
24-Jul-22,4030,22.12,21.7,22.34,21.7,719.80K,1.94%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
21-Jul-22,4030,21.7,21.6,21.8,21.58,601.17K,0.84%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
20-Jul-22,4030,21.52,21.3,21.98,21.3,1.56M,1.13%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
19-Jul-22,4030,21.28,20.8,21.6,20.74,1.17M,2.50%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
18-Jul-22,4030,20.76,20.46,20.8,20.44,547.23K,1.86%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
17-Jul-22,4030,20.38,20.7,20.72,20.34,637.48K,2.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
14-Jul-22,4030,19.98,20.4,20.4,19.56,550.67K,-2.06%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
13-Jul-22,4030,20.4,20.5,20.76,20.3,469.84K,-0.78%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
6-Jul-22,4030,20.56,20.42,21,20.3,751.42K,0.78%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
5-Jul-22,4030,20.4,20.22,20.4,20.02,747.33K,1.80%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
4-Jul-22,4030,20.04,20.4,20.56,19.88,733.13K,-1.67%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
3-Jul-22,4030,20.38,19.96,20.62,19.96,1.77M,2.52%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
30-Jun-22,4030,19.88,19.7,19.92,19.64,600.67K,1.02%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
29-Jun-22,4030,19.68,19.7,19.88,19.56,498.18K,-0.10%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
28-Jun-22,4030,19.7,19.5,19.7,19.38,745.29K,1.03%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
27-Jun-22,4030,19.5,19.94,19.98,19.5,770.35K,-2.11%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
26-Jun-22,4030,19.92,19.66,20,19.5,1.10M,2.89%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
23-Jun-22,4030,19.36,18.78,19.36,18.46,972.77K,3.53%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
22-Jun-22,4030,18.7,19.4,19.4,18.5,3.24M,-3.41%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
21-Jun-22,4030,19.36,19.34,19.5,19.34,2.11M,0.31%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
20-Jun-22,4030,19.3,19.5,19.7,19,2.87M,-1.03%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
19-Jun-22,4030,19.5,20.4,20.4,19.5,1.99M,-3.47%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
16-Jun-22,4030,20.2,20.98,21.06,20.1,2.07M,-2.98%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
15-Jun-22,4030,20.82,20.84,21.02,20.64,1.72M,-0.10%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
14-Jun-22,4030,20.84,21.4,21.5,20.34,3.00M,-2.62%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
13-Jun-22,4030,21.4,22.34,22.34,21.4,2.26M,-4.29%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
12-Jun-22,4030,22.36,23.28,23.28,22.2,1.96M,-4.93%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
9-Jun-22,4030,23.52,23.64,23.64,23.48,686.78K,-0.34%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
8-Jun-22,4030,23.6,23.92,23.94,23.56,1.30M,-1.26%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
7-Jun-22,4030,23.9,24.14,24.14,23.86,1.14M,-0.75%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
6-Jun-22,4030,24.08,24,24.1,24,850.11K,0.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
5-Jun-22,4030,24.08,24.34,24.34,24,1.26M,-1.07%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
2-Jun-22,4030,24.34,25,25,24.3,951.97K,-0.90%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
1-Jun-22,4030,24.56,24.4,24.6,24.4,539.35K,0.66%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
31-May-22,4030,24.4,25.1,25.2,24.4,1.62M,-2.59%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
30-May-22,4030,25.05,25.25,25.3,25.05,1.22M,-0.40%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
29-May-22,4030,25.15,25.2,25.5,25.1,816.43K,0.68%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
26-May-22,4030,24.98,25.1,25.1,24.92,468.92K,-0.08%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
25-May-22,4030,25,24.9,25.2,24.8,688.28K,0.48%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
24-May-22,4030,24.88,25.25,25.25,24.8,559.20K,-1.47%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
23-May-22,4030,25.25,25.6,25.6,25.05,735.56K,-1.56%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
22-May-22,4030,25.65,26.5,26.5,25.6,898.84K,-2.84%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
19-May-22,4030,26.4,27.4,27.4,26.3,740.09K,-4.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
18-May-22,4030,27.5,27.6,27.95,27.5,502.16K,-0.18%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
17-May-22,4030,27.55,27.5,27.75,27.3,671.21K,1.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
16-May-22,4030,27.24,27.84,27.84,27.12,967.86K,-2.16%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
15-May-22,4030,27.84,28,28.08,27.84,514.65K,-0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
12-May-22,4030,27.88,28.28,28.4,27.76,967.74K,-1.55%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
11-May-22,4030,28.32,28.04,28.48,28.04,724.65K,1.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
10-May-22,4030,28.04,28.32,28.32,27.92,679.63K,-0.99%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
9-May-22,4030,28.32,28.2,28.56,28.16,894.95K,0.57%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
8-May-22,4030,28.16,28.2,28.24,27.72,765.48K,0.28%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
28-Apr-22,4030,28.08,27.92,28.08,27.8,477.66K,0.86%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
27-Apr-22,4030,27.84,27.6,27.84,27.52,1.01M,0.87%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
26-Apr-22,4030,27.6,27.92,27.92,27.48,923.13K,-0.43%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
25-Apr-22,4030,27.72,28.16,28.2,27.52,1.22M,-1.56%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
24-Apr-22,4030,28.16,28.36,28.36,28.04,611.19K,-0.85%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
21-Apr-22,4030,28.4,28.88,28.88,28.12,705.51K,-1.39%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
20-Apr-22,4030,28.8,29.08,29.08,28.6,957.60K,-0.96%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
19-Apr-22,4030,29.08,29.28,29.32,28.96,826.09K,-0.41%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
18-Apr-22,4030,29.2,29.32,29.64,29.2,1.43M,-0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
17-Apr-22,4030,29.24,29.16,29.6,29.12,2.78M,1.11%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
14-Apr-22,4030,28.92,28.48,29.12,28.48,3.69M,1.83%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
13-Apr-22,4030,28.4,28.4,28.44,28.28,1.61M,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
12-Apr-22,4030,28.36,28.28,28.36,28.2,1.11M,0.28%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
11-Apr-22,4030,28.28,28.24,28.36,28.2,789.05K,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
10-Apr-22,4030,28.24,28.2,28.36,28.16,555.74K,0.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
7-Apr-22,4030,28.24,28.16,28.32,28.08,657.54K,-0.42%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
6-Apr-22,4030,28.36,28.36,28.36,28,732.33K,0.00%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
5-Apr-22,4030,28.36,28.72,28.72,28.28,568.68K,-1.25%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
4-Apr-22,4030,28.72,28.84,28.84,28.44,376.82K,-0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
3-Apr-22,4030,28.76,28.56,28.96,28.48,585.90K,0.70%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
31-Mar-22,4030,28.56,28.52,28.68,28.48,397.06K,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
30-Mar-22,4030,28.52,28.44,28.56,28.4,268.54K,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
29-Mar-22,4030,28.48,28.44,28.56,28.32,459.79K,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
28-Mar-22,4030,28.44,28.64,28.72,28.36,546.63K,-0.42%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
27-Mar-22,4030,28.56,28.4,28.64,28.24,621.41K,0.85%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
24-Mar-22,4030,28.32,28.2,28.52,28.08,927.51K,0.43%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
23-Mar-22,4030,28.2,27.84,28.24,27.76,522.05K,1.59%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
22-Mar-22,4030,27.76,28.08,28.08,27.76,970.82K,-1.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
21-Mar-22,4030,28.08,28.2,28.28,27.96,702.65K,-0.43%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
20-Mar-22,4030,28.2,28.44,28.52,28,1.08M,-0.98%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
17-Mar-22,4030,28.48,28.32,28.56,28,733.66K,0.14%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
16-Mar-22,4030,28.44,27.84,28.76,27.84,1.10M,2.60%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
15-Mar-22,4030,27.72,28.16,28.16,27.6,613.78K,-1.84%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
14-Mar-22,4030,28.24,28.52,28.52,28,572.17K,-0.84%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
13-Mar-22,4030,28.48,28.36,28.64,28.32,686.73K,0.56%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
10-Mar-22,4030,28.32,28.68,28.68,28,828.00K,-1.39%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
9-Mar-22,4030,28.72,29.28,29.36,28.6,1.08M,-0.97%,Energy,Bahri,"Oil, Gas & Consumable Fuels"
