Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Aug 18, 2022",2380,18.36,18.50,18.56,18.36,6.08M,-0.33%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 17, 2022",2380,18.42,18.44,18.68,18.40,6.59M,0.33%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 16, 2022",2380,18.36,18.70,19.06,18.34,17.79M,-1.61%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 15, 2022",2380,18.66,18.00,18.66,17.80,21.48M,3.78%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 14, 2022",2380,17.98,19.48,19.58,17.92,36.87M,-3.95%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 11, 2022",2380,18.72,18.70,18.92,18.66,3.80M,0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 10, 2022",2380,18.70,18.68,18.74,18.46,4.20M,0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 09, 2022",2380,18.68,18.60,18.74,18.42,1.95M,0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 08, 2022",2380,18.66,18.70,18.88,18.46,2.90M,-0.43%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 07, 2022",2380,18.74,18.34,18.92,18.28,3.79M,2.07%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 04, 2022",2380,18.36,18.24,18.36,18.20,1.51M,0.66%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 03, 2022",2380,18.24,18.58,18.62,18.14,3.26M,-1.94%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 02, 2022",2380,18.60,18.74,18.76,18.50,2.54M,-0.96%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Aug 01, 2022",2380,18.78,18.56,18.84,18.40,3.13M,1.29%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 31, 2022",2380,18.54,18.42,18.64,18.28,3.33M,1.31%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 28, 2022",2380,18.30,18.60,18.66,18.24,3.29M,-1.19%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 27, 2022",2380,18.52,18.52,18.60,18.18,4.27M,0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 26, 2022",2380,18.50,17.88,18.56,17.78,10.44M,3.93%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 25, 2022",2380,17.80,17.80,17.98,17.66,2.36M,0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 24, 2022",2380,17.78,17.98,18.00,17.72,1.93M,-0.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 21, 2022",2380,17.80,17.62,17.90,17.46,2.69M,1.02%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 20, 2022",2380,17.62,17.88,18.10,17.40,5.30M,-1.01%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 19, 2022",2380,17.80,17.80,18.10,17.48,9.20M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 18, 2022",2380,17.80,17.48,17.84,17.34,3.50M,2.06%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 17, 2022",2380,17.44,17.78,17.98,17.22,3.72M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 14, 2022",2380,17.44,18.28,18.58,17.26,3.48M,-3.65%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 13, 2022",2380,18.10,17.52,19.16,17.48,6.87M,2.26%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 06, 2022",2380,17.70,17.00,17.70,16.98,4.80M,2.31%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 05, 2022",2380,17.30,17.08,17.80,17.08,3.06M,1.29%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 04, 2022",2380,17.08,17.10,17.46,16.76,1.90M,-0.12%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jul 03, 2022",2380,17.10,17.20,17.34,17.06,1.83M,0.23%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 30, 2022",2380,17.06,17.48,17.50,17.06,1.88M,-3.07%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 29, 2022",2380,17.60,17.26,17.60,17.00,2.25M,1.97%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 28, 2022",2380,17.26,17.32,17.52,16.90,2.30M,-0.35%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 27, 2022",2380,17.32,17.62,17.90,17.30,3.35M,-1.59%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 26, 2022",2380,17.60,18.00,18.50,17.20,4.49M,1.50%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 23, 2022",2380,17.34,18.44,18.50,16.54,3.98M,-3.67%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 22, 2022",2380,18.00,17.60,18.96,17.28,7.53M,4.41%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 21, 2022",2380,17.24,16.00,17.24,15.80,3.43M,9.95%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 20, 2022",2380,15.68,16.84,17.00,15.66,4.63M,-6.89%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 19, 2022",2380,16.84,17.78,17.78,16.58,2.20M,-5.61%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 16, 2022",2380,17.84,18.40,19.20,17.80,2.95M,-3.15%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 15, 2022",2380,18.42,19.46,19.50,18.42,2.54M,-5.92%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 14, 2022",2380,19.58,20.00,20.04,18.60,5.65M,-2.59%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 13, 2022",2380,20.10,20.60,20.80,19.28,7.22M,-3.37%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 12, 2022",2380,20.80,20.82,22.40,20.50,10.72M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 09, 2022",2380,20.80,20.38,20.80,19.60,8.20M,9.98%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 08, 2022",2380,18.91,17.83,19.40,17.76,15.08M,6.72%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 07, 2022",2380,17.72,18.07,18.21,17.72,3.37M,-1.75%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 06, 2022",2380,18.04,18.21,18.42,18.00,2.68M,0.19%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 05, 2022",2380,18.00,18.04,18.42,17.97,3.19M,0.19%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 02, 2022",2380,17.97,18.74,18.91,17.97,3.09M,-4.65%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Jun 01, 2022",2380,18.84,18.95,19.72,18.49,7.61M,-1.10%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 31, 2022",2380,19.05,17.72,19.05,17.44,8.83M,7.51%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 30, 2022",2380,17.72,16.67,17.72,16.60,6.93M,6.12%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 29, 2022",2380,16.70,16.67,16.75,16.59,2.08M,1.19%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 26, 2022",2380,16.50,16.75,17.51,16.38,6.75M,-0.93%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 25, 2022",2380,16.66,16.14,16.88,16.11,4.27M,3.93%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 24, 2022",2380,16.03,15.94,16.05,15.83,3.02M,1.15%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 23, 2022",2380,15.84,16.11,16.29,15.83,5.34M,-0.96%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 22, 2022",2380,16.00,16.74,16.81,15.94,9.85M,-4.44%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 19, 2022",2380,16.74,17.69,17.97,16.74,12.17M,-9.98%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 18, 2022",2380,18.60,19.51,19.72,18.46,4.60M,-4.50%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 17, 2022",2380,19.47,18.91,19.65,18.88,4.73M,2.77%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 16, 2022",2380,18.95,19.54,19.68,18.88,3.86M,-3.05%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 15, 2022",2380,19.54,20.56,20.56,19.51,3.84M,-1.59%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 12, 2022",2380,19.86,20.98,21.05,19.68,5.32M,-5.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 11, 2022",2380,20.98,21.05,21.54,20.94,3.27M,-0.17%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 10, 2022",2380,21.01,20.80,21.26,20.42,3.74M,-0.17%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 09, 2022",2380,21.05,21.78,21.78,20.87,5.33M,-3.84%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"May 08, 2022",2380,21.89,20.45,21.89,20.07,9.53M,8.51%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 28, 2022",2380,20.17,19.58,20.38,19.51,3.23M,3.41%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 27, 2022",2380,19.51,18.98,19.61,18.70,2.93M,2.77%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 26, 2022",2380,18.98,18.21,19.02,17.47,9.88M,1.31%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 25, 2022",2380,18.74,19.33,19.75,18.39,6.39M,-3.25%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 24, 2022",2380,19.37,20.31,20.42,19.19,4.74M,-5.95%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 21, 2022",2380,20.59,21.05,21.15,20.59,2.47M,-2.65%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 20, 2022",2380,21.15,21.05,21.22,20.66,3.13M,0.33%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 19, 2022",2380,21.08,21.57,21.78,21.08,4.74M,-2.11%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 18, 2022",2380,21.54,22.38,22.41,21.43,6.60M,-3.61%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 17, 2022",2380,22.34,21.29,22.34,21.29,7.07M,5.80%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 14, 2022",2380,21.12,20.59,21.15,20.49,3.78M,3.43%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 13, 2022",2380,20.42,20.35,20.87,20.10,3.45M,0.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 12, 2022",2380,20.35,20.28,20.38,20.14,2.05M,-0.17%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 11, 2022",2380,20.38,20.38,20.52,20.21,2.87M,-0.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 10, 2022",2380,20.45,20.66,20.70,20.45,1.69M,-0.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 07, 2022",2380,20.52,20.38,20.63,20.24,2.75M,-0.85%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 06, 2022",2380,20.70,21.01,21.33,20.45,4.29M,-1.17%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 05, 2022",2380,20.94,20.38,21.22,20.38,6.00M,2.93%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 04, 2022",2380,20.35,20.56,20.59,20.21,1.98M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Apr 03, 2022",2380,20.35,20.07,20.73,19.96,3.19M,2.83%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 31, 2022",2380,19.79,20.49,20.49,19.61,3.90M,-3.58%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 30, 2022",2380,20.52,20.28,20.66,20.10,3.19M,1.38%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 29, 2022",2380,20.24,20.63,20.91,20.10,4.94M,-1.53%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 28, 2022",2380,20.56,20.73,21.12,20.45,4.77M,-1.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 27, 2022",2380,20.84,20.52,21.15,20.49,5.64M,1.02%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 24, 2022",2380,20.63,19.86,20.98,19.82,10.26M,4.25%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 23, 2022",2380,19.79,19.47,20.10,19.19,7.57M,2.36%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 22, 2022",2380,19.33,18.88,19.47,18.63,6.27M,2.79%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 21, 2022",2380,18.81,18.91,19.16,18.63,4.27M,0.19%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 20, 2022",2380,18.77,19.09,19.40,18.67,3.14M,-0.56%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 17, 2022",2380,18.88,18.35,19.05,18.14,6.43M,2.86%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 16, 2022",2380,18.35,18.04,18.63,17.86,3.33M,2.34%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 15, 2022",2380,17.93,17.62,18.35,17.55,4.73M,0.79%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 14, 2022",2380,17.79,18.63,18.67,17.65,6.23M,-4.87%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 13, 2022",2380,18.70,18.91,19.23,18.49,5.58M,-0.93%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 10, 2022",2380,18.88,19.05,19.37,18.70,5.23M,-1.10%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 09, 2022",2380,19.09,20.24,20.24,18.74,20.85M,-5.71%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 08, 2022",2380,20.24,18.49,20.31,18.07,20.62M,9.47%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 07, 2022",2380,18.49,18.88,19.09,18.28,9.24M,-0.75%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 06, 2022",2380,18.63,17.86,18.84,17.62,13.77M,7.26%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 03, 2022",2380,17.37,17.51,17.86,17.32,9.59M,0.32%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 02, 2022",2380,17.32,17.86,18.14,17.26,7.91M,-2.87%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Mar 01, 2022",2380,17.83,17.16,17.90,17.09,10.88M,3.88%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 28, 2022",2380,17.16,16.46,17.24,16.42,7.22M,4.26%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 27, 2022",2380,16.46,16.32,16.46,16.17,2.71M,2.71%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 24, 2022",2380,16.03,15.87,16.18,15.62,4.27M,-0.61%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 23, 2022",2380,16.12,16.03,16.36,15.90,2.44M,0.61%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 21, 2022",2380,16.03,15.90,16.32,15.90,2.01M,0.79%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 20, 2022",2380,15.90,16.33,16.35,15.76,2.24M,-3.16%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 17, 2022",2380,16.42,16.77,16.77,16.36,2.35M,-1.68%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 16, 2022",2380,16.70,16.70,16.91,16.60,2.70M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 15, 2022",2380,16.70,16.46,16.80,16.32,2.41M,1.36%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 14, 2022",2380,16.47,16.22,16.52,15.96,2.75M,1.55%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 13, 2022",2380,16.22,16.78,16.78,16.01,3.47M,-3.90%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 10, 2022",2380,16.88,16.98,16.99,16.80,1.47M,0.00%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 09, 2022",2380,16.88,16.88,17.16,16.81,1.35M,0.42%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 08, 2022",2380,16.81,17.06,17.09,16.80,2.05M,-1.64%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
"Feb 07, 2022",2380,17.09,17.29,17.44,17.09,3.25M,-0.81%,Energy,Petro Rabigh,"Oil, Gas & Consumable Fuels"
