Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Aug 18, 2022",2030,108.40,109.60,109.80,108.20,131.56K,-1.09%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 17, 2022",2030,109.60,110.60,110.60,109.20,181.43K,-0.90%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 16, 2022",2030,110.60,111.00,112.80,110.40,579.44K,-0.18%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 15, 2022",2030,110.80,108.20,111.80,108.20,551.55K,2.03%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 14, 2022",2030,108.60,109.20,110.60,108.00,284.74K,-1.27%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 11, 2022",2030,110.00,111.20,111.60,109.00,302.44K,-0.90%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 10, 2022",2030,111.00,111.60,112.80,110.00,344.63K,-0.54%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 09, 2022",2030,111.60,113.00,113.80,110.40,353.29K,-1.06%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 08, 2022",2030,112.80,109.00,114.80,108.00,1.28M,3.68%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 07, 2022",2030,108.80,109.80,111.20,108.20,590.18K,0.37%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 04, 2022",2030,108.40,107.20,110.00,106.20,451.27K,1.31%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 03, 2022",2030,107.00,110.00,111.60,106.00,634.57K,-1.47%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 02, 2022",2030,108.60,107.00,112.00,105.00,1.15M,2.45%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Aug 01, 2022",2030,106.00,103.40,109.40,100.60,1.52M,3.11%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 31, 2022",2030,102.80,94.50,102.80,94.50,1.22M,9.83%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 28, 2022",2030,93.60,92.10,94.40,92.10,309.88K,2.30%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 27, 2022",2030,91.50,92.00,92.30,91.30,70.55K,0.22%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 26, 2022",2030,91.30,92.80,93.00,91.30,75.02K,-0.44%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 25, 2022",2030,91.70,92.90,93.40,91.70,115.71K,-1.29%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 24, 2022",2030,92.90,92.00,94.80,91.60,253.22K,1.42%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 21, 2022",2030,91.60,92.50,92.50,90.60,91.19K,-0.11%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 20, 2022",2030,91.70,94.00,94.50,91.00,222.99K,-1.93%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 19, 2022",2030,93.50,93.00,95.30,92.60,340.80K,0.97%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 18, 2022",2030,92.60,88.00,93.20,87.80,412.82K,5.59%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 17, 2022",2030,87.70,86.10,89.60,86.10,318.29K,3.18%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 14, 2022",2030,85.00,86.00,86.20,83.50,155.37K,-1.51%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 13, 2022",2030,86.30,88.30,89.30,85.80,152.70K,-2.38%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 06, 2022",2030,88.40,85.70,88.40,85.70,134.77K,1.38%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 05, 2022",2030,87.20,86.10,89.40,86.00,311.44K,2.35%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
"Jul 04, 2022",2030,85.20,88.00,88.80,85.20,202.62K,-3.18%,Energy,SARCO,"Oil, Gas & Consumable Fuels"
